variant_id,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count
9,16,4,128,square,psk,moderate_negative_drift,not_reached,0,3,0.5572916666666666,0.4427083333333333,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,square,psk,moderate_positive_drift,not_reached,0,3,0.5677083333333334,0.4322916666666667,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
9,16,4,128,square,psk,severe_positive_drift,not_reached,0,3,0.6848958333333334,0.3151041666666667,0.0,1.0,750.0,0.1111111111111111,16.0,144.0
10,16,8,32,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.23809523809523805,40.0,168.0
10,16,8,32,chirp,psk,combined_drift_timing,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,chirp,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,chirp,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.23809523809523805,40.0,168.0
10,16,8,32,sine,psk,combined_drift_timing,4.0,2,3,0.015625,0.984375,0.6666666666666666,1.0,150.0,0.23809523809523805,40.0,168.0
10,16,8,32,sine,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,sine,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,sine,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.23809523809523805,40.0,168.0
10,16,8,32,square,psk,combined_drift_timing,not_reached,0,3,0.0625,0.9375,0.0,1.0,250.0,0.23809523809523805,40.0,168.0
10,16,8,32,square,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,square,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
10,16,8,32,square,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.23809523809523805,40.0,168.0
11,16,8,64,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.15789473684210525,24.0,152.0
11,16,8,64,chirp,psk,combined_drift_timing,not_reached,0,3,0.3776041666666667,0.6223958333333334,0.0,1.0,450.0,0.15789473684210525,24.0,152.0
11,16,8,64,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.15789473684210525,24.0,152.0
11,16,8,64,chirp,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.15789473684210525,24.0,152.0
